case_id,exchange_id,donor_name,donor_business,receiver_name,receiver_business,waste,resource
16,"16,30,35",ND,Oil refinery,ND,Nickel refinery,Sulphur,Raw material for Nickel refinery
16,"16,30,36",ND,Oil refinery,ND,Inorganic chemical producer,Sulphur,Raw material for Inorganic chemical producer
16,"16,30,37",ND,Oil refinery,ND,Cement and lime producer,Spent catalysts,Raw material for Cement and lime producer
16,"16,30,38",ND,Inorganic chemical producer,ND,Synthetic rutile plant,Ammonium chloride,Raw material for Synthetic rutile plant
16,"16,30,39",ND,Inorganic chemical producer,ND,Chlor alkali plant,98% sulphuric acid,Raw material for Chlor alkali plant
16,"16,30,40",ND,Chlor alkali plant,ND,Inorganic chemical producer,80% sulphuric acid,Raw material for Inorganic chemical producer
16,"16,30,41",ND,Zirconia powder producer,ND,Inorganic chemical producer,Ammonium chloride solution,Raw material for Inorganic chemical producer
16,"16,30,42",ND,Titanium dioxide producer,ND,Inorganic chemical producer,Hydrochloric acid,Raw material for Inorganic chemical producer
16,"16,30,43",ND,Zirconia powder producer,ND,Titanium dioxide producer,Ammonium chloride solution,Raw material for Titanium dioxide producer
16,"16,30,44",ND,Industrial chemical & ferilizer producer,ND,Industrial gas producer,Hydrogen,Raw material for Industrial gas producer
16,"16,30,45",ND,Nickel refinery,ND,Industrial chemical & ferilizer producer,Hydrogen,Raw material for Industrial chemical & ferilizer producer
16,"16,30,46",ND,Nickel refinery,ND,Industrial chemical & ferilizer producer,Ammonium sulphate,Raw material for Industrial chemical & ferilizer producer
16,"16,30,47",ND,Industrial gas producer,ND,Coal-fired power station,Carbon dioxide,Raw material for Coal-fired power station
16,"16,30,48",ND,Industrial gas producer,ND,Coal-fired power station,Hydrogen,Raw material for Coal-fired power station
16,"16,30,49",ND,Nickel refinery,ND,Industrial gas producer,Carbon dioxide,Raw material for Industrial gas producer
16,"16,30,50",ND,Coal-fired power station,ND,Construction company,Fly ash,Raw material for Construction company
16,"16,30,51",ND,Water supply and treatment company,ND,Turf farm,Bio-sludge,Raw material for Turf farm
16,"16,30,52",ND,Cement and lime producer,ND,Pig iron plant,Lime kiln dust,Raw material for Pig iron plant
16,"16,30,53",ND,Cement and lime producer,ND,Titanium dioxide producer,Lime kiln dust,Raw material for Titanium dioxide producer
16,"16,30,54",ND,Coal mine,ND,Cement and lime producer,Coal mine overburden,Raw material for Cement and lime producer
16,"16,30,55",ND,Nickel refinery,ND,Nikel mine,Process residue,Raw material for Nikel mine
16,"16,30,56",ND,Nickel refinery,ND,Nikel mine,Sulphur,Raw material for Nikel mine
