donor,receiver,donor_wastes,receiver_resources,maestri_num_exchanges,our_num_exchanges,final_num_exchanges,maestri_exchanges_details,our_exchanges_details,final_exchanges_details
ENI refinery,ENI refinery,"Fuel gas
Fuel oil
Waste heat","Process heat
Process energy
Water",0,4,3,,"oils -> clean water
synthetic gas -> hydrogen
fossil fuel -> hydrogen
waste -> hot water","Waste heat -> Water
Fuel oil -> Water
Fuel gas -> Water"
ENI refinery,Enipower power station,"Fuel gas
Fuel oil
Waste heat","Fuel
Water",2,20,6,"Fuel gas -> Fuel
Fuel oil -> Fuel","oils -> clean water
oils -> biodiesel
oils -> biofuels
waste oil -> biodiesel
waste oil -> crude oil
fossil fuel diesel -> biofuels
synthetic gas -> hydrogen
used cooking oil -> biodiesel
used cooking oil -> crude oil
heating oil -> ethanol
hydrocarbons -> biofuels
hydrocarbons -> biodiesel
biomass fuel -> chemical fuels
fossil fuel -> hydrogen
fossil fuel -> crude oil
fossil fuel -> biofuels
fossil fuel -> gas
fossil fuel -> renewable fuel
fossil fuel -> energy efficiency
waste -> hot water","Fuel oil -> Water
Fuel gas -> Water
Waste heat -> Fuel
Waste heat -> Water
Fuel oil -> Fuel
Fuel gas -> Fuel"
ENI refinery,ND - Agroindustry,"Fuel gas
Fuel oil
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,12,5,,"synthetic gas -> ammonia nitrogen
used cooking oil -> biochar
petroleum-derived products -> biochar
hydrocarbons -> biogas
fossil fuel -> biochar
fossil fuel -> biogas
energy waste -> biogas
high-calorific waste -> compost
high-calorific waste -> biogas
waste heat -> biogas
waste carbon -> ammonia
waste -> fertilizer","Waste heat -> Fertilizer
Fuel oil -> Fertilizer
Waste heat -> Fertiliser
Fuel gas -> Fertilizer
Waste heat -> Soil quality improvement and fertiliser"
ENI refinery,ND - Construction materials production,"Fuel gas
Fuel oil
Waste heat",Raw material for Construction materials production,0,1,1,,petroleum-derived products -> building materials,Fuel oil -> Raw material for Construction materials production
ENI refinery,ND - Electricity production - Organic Rankine Cycle,"Fuel gas
Fuel oil
Waste heat",Process heat,1,0,0,Waste heat -> Process heat,,
ENI refinery,ND - Road construction,"Fuel gas
Fuel oil
Waste heat","Raw material for Road construction
Raw materials
Road foundations
Paving",0,8,3,,"oils -> recovered materials
waste oil -> chemical products
waste oil -> recycled materials
petroleum-derived products -> building materials
fossil fuel -> chemical products
high-calorific waste -> recycled materials
waste -> materials
waste -> chemical products","Fuel gas -> Raw materials
Waste heat -> Raw materials
Fuel oil -> Raw materials"
ENI refinery,Taranto,"Fuel gas
Fuel oil
Waste heat","Heat
Cooling",1,1,1,Waste heat -> Heat,waste -> hot water,Waste heat -> Heat
Edison power station,CEMENTIR,"Electricity
Steam
Waste heat","Raw material for Cement production
Process energy",0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Edison power station,ENI refinery,"Electricity
Steam
Waste heat","Process heat
Process energy
Water",0,5,3,,"waste -> hot water
batteries -> hydrogen
energy -> energy resources
energy -> usable energy
energy -> energy recovery","Electricity -> Process energy
Waste heat -> Water
Electricity -> Water"
Edison power station,Edison power station,"Electricity
Steam
Waste heat","Process heat
Process energy",0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Edison power station,EniPower power station,"Electricity
Steam
Waste heat",Process energy,0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Edison power station,Enipower power station,"Electricity
Steam
Waste heat","Fuel
Water",0,8,4,,"waste oil -> biodiesel
waste oil -> crude oil
waste -> hot water
batteries -> hydrogen
energy consumption -> bioenergy
energy consumption -> biofuels
energy -> energy resources
energy -> energy efficiency","Electricity -> Fuel
Waste heat -> Fuel
Waste heat -> Water
Electricity -> Water"
Edison power station,ILVA,"Electricity
Steam
Waste heat","Process energy
Process heat",2,3,1,"Electricity -> Process energy
Steam -> Process heat","energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Edison power station,ND - Agroindustry,"Electricity
Steam
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,8,5,,"energy waste -> biogas
high-calorific waste -> compost
high-calorific waste -> biogas
waste heat -> biogas
waste carbon -> ammonia
waste -> fertilizer
energy consumption -> biofertilizer
energy -> compost","Waste heat -> Fertilizer
Electricity -> Fertiliser
Electricity -> Fertilizer
Waste heat -> Fertiliser
Waste heat -> Soil quality improvement and fertiliser"
Edison power station,ND - Distilleries,"Electricity
Steam
Waste heat",Raw material for Distilleries,0,1,1,,household electrical appliances -> secondary raw materials,Electricity -> Raw material for Distilleries
Edison power station,ND - Road construction,"Electricity
Steam
Waste heat","Raw material for Road construction
Raw materials
Road foundations
Paving",0,11,2,,"waste oil -> chemical products
waste oil -> recycled materials
high-calorific waste -> recycled materials
waste -> materials
waste -> chemical products
batteries -> metals
energy consumption -> minerals
household electrical appliances -> secondary raw materials
household electrical appliances -> metals
energy -> recovered materials
electrical and electronic equipment -> recycled materials","Electricity -> Raw materials
Waste heat -> Raw materials"
Edison power station,Taranto,"Electricity
Steam
Waste heat","Heat
Cooling",1,1,1,Waste heat -> Heat,waste -> hot water,Waste heat -> Heat
EniPower power station,ENI refinery,Waste heat,"Process heat
Process energy
Water",0,1,1,,waste -> hot water,Waste heat -> Water
EniPower power station,Enipower power station,Waste heat,"Fuel
Water",0,3,2,,"waste oil -> biodiesel
waste oil -> crude oil
waste -> hot water","Waste heat -> Fuel
Waste heat -> Water"
EniPower power station,ND - Agroindustry,Waste heat,"Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,6,3,,"energy waste -> biogas
high-calorific waste -> compost
high-calorific waste -> biogas
waste heat -> biogas
waste carbon -> ammonia
waste -> fertilizer","Waste heat -> Fertilizer
Waste heat -> Fertiliser
Waste heat -> Soil quality improvement and fertiliser"
EniPower power station,ND - Electricity production - Organic Rankine Cycle,Waste heat,Process heat,1,0,0,Waste heat -> Process heat,,
EniPower power station,ND - Road construction,Waste heat,"Raw material for Road construction
Raw materials
Road foundations
Paving",0,5,1,,"waste oil -> chemical products
waste oil -> recycled materials
high-calorific waste -> recycled materials
waste -> materials
waste -> chemical products",Waste heat -> Raw materials
EniPower power station,Taranto,Waste heat,"Heat
Cooling",1,1,1,Waste heat -> Heat,waste -> hot water,Waste heat -> Heat
Enipower power station,CEMENTIR,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Raw material for Cement production
Process energy",0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Enipower power station,ENI refinery,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Process heat
Process energy
Water",3,5,3,"Vapour and demineralised water -> Process heat
Electricity -> Process energy
Sea and well water, condensing vapour -> Water","batteries -> hydrogen
energy -> energy resources
energy -> usable energy
energy -> energy recovery
saline water -> clean water","Sea and well water, condensing vapour -> Water
Electricity -> Process energy
Electricity -> Water"
Enipower power station,Edison power station,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Process heat
Process energy",0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Enipower power station,EniPower power station,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour",Process energy,0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Enipower power station,Enipower power station,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Fuel
Water",0,10,4,,"batteries -> hydrogen
energy consumption -> bioenergy
energy consumption -> biofuels
energy -> energy resources
energy -> energy efficiency
saline water -> clean water
saline water -> biofuels
saline water -> biodiesel
water vapor -> value-added fuels
water vapor -> solid fuel","Electricity -> Fuel
Sea and well water, condensing vapour -> Fuel
Sea and well water, condensing vapour -> Water
Electricity -> Water"
Enipower power station,ILVA,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Process energy
Process heat",0,3,1,,"energy -> energy resources
energy -> usable energy
energy -> energy recovery",Electricity -> Process energy
Enipower power station,ND - Agroindustry,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,4,3,,"energy consumption -> biofertilizer
energy -> compost
saline water -> biogas
water vapor -> biochar","Electricity -> Fertiliser
Electricity -> Fertilizer
Sea and well water, condensing vapour -> Fertilizer"
Enipower power station,ND - Distilleries,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour",Raw material for Distilleries,0,1,1,,household electrical appliances -> secondary raw materials,Electricity -> Raw material for Distilleries
Enipower power station,ND - Production of concrete,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour",Raw material for Production of concrete,0,1,1,,seawater -> concrete,"Sea and well water, condensing vapour -> Raw material for Production of concrete"
Enipower power station,ND - Road construction,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Raw material for Road construction
Raw materials
Road foundations
Paving",0,8,3,,"batteries -> metals
energy consumption -> minerals
household electrical appliances -> secondary raw materials
household electrical appliances -> metals
energy -> recovered materials
electrical and electronic equipment -> recycled materials
saline water -> chemical products
seawater -> concrete","Electricity -> Raw materials
Sea and well water, condensing vapour -> Raw materials
Sea and well water, condensing vapour -> Paving"
ILVA,CEMENTIR,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Raw material for Cement production
Process energy",2,5,1,"Mill scales -> Raw material for Cement production
BF slag -> Raw material for Cement production","slag -> feedstock for cement clinker production
BOF slag powder -> cement
steelmaking slag -> cement
carbonated slag -> cement
EAF slag -> cement",BF slag -> Raw material for Cement production
ILVA,ENI refinery,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Process heat
Process energy
Water",0,7,7,,"nitrogen oxides -> heat
nitrogen oxides -> water
waste -> hot water
alumina -> hydrogen
alumina -> heat
fluid waste -> treated water
slag waste -> hydrogen","BF slag -> Water
Exhaust gas -> Water
Waste heat -> Water
Refractories -> Process heat
Waste coolant -> Water
Exhaust gas -> Process heat
Refractories -> Water"
ILVA,Edison power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Process heat
Process energy",1,2,2,Exhaust gas -> Process heat,"nitrogen oxides -> heat
alumina -> heat","Exhaust gas -> Process heat
Refractories -> Process heat"
ILVA,Enipower power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Fuel
Water",1,25,11,Demineralised water -> Water,"flue gas -> biofuels
flue gas -> biodiesel
carbon monoxide -> biofuels
carbon monoxide -> biodiesel
smoke -> value-added fuels
smoke -> solid fuel
nitrogen oxides -> water
nitrogen oxides -> gas
nitrogen oxides -> power
nitrogen oxides -> biofuels
nitrogen oxides -> biodiesel
waste oil -> biodiesel
waste oil -> crude oil
waste -> hot water
alumina -> hydrogen
sludge waste -> bioenergy
process waste -> ethanol
liquid waste -> crude oil
liquid waste -> ethanol
liquid waste -> biofuels
fluid waste -> treated water
slag waste -> hydrogen
scale -> biodiesel
scale -> oil
scale -> biofuels","Refractories -> Fuel
Waste coolant -> Fuel
BF slag -> Water
Mill scales -> Fuel
Exhaust gas -> Water
Waste heat -> Fuel
Waste heat -> Water
Waste coolant -> Water
BF slag -> Fuel
Refractories -> Water
Exhaust gas -> Fuel"
ILVA,ILVA,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Process energy
Process heat",0,2,2,,"nitrogen oxides -> heat
alumina -> heat","Exhaust gas -> Process heat
Refractories -> Process heat"
ILVA,ND - Agroindustry,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",1,37,13,BFS -> Fertiliser,"flue gas -> biogas
odor emission -> biogas
odor emission -> compost
carbon monoxide -> biogas
smoke -> biochar
nitrogen oxides -> ammonia
nitrogen oxides -> biogas
energy waste -> biogas
high-calorific waste -> compost
high-calorific waste -> biogas
waste heat -> biogas
waste carbon -> ammonia
waste -> fertilizer
sludge waste -> bio-fertilizer
sludge waste -> biogas
sludge waste -> phosphorus
sludge waste -> organic fertilisers
sludge waste -> fertiliser
sludge waste -> ammonia
sludge waste -> biochar
sludge waste -> soil nitrogen
sludge waste -> fertilizer
process waste -> biogas
liquid waste -> compost
liquid waste -> biochar
scale -> fertiliser
desulfurization slag -> soil improver
iron and steel slag -> phosphorus
steelmaking slag -> fertilizer
steelmaking slag -> zeolite
steelmaking slag -> biochar
steelmaking slag -> biogas
steelmaking slag -> phosphorous fertiliser
blast furnace slag -> fertilizer
blast furnace slag -> zeolite
salt slag -> ammonia
lithium slag -> fertilizer","Waste heat -> Fertilizer
Waste coolant -> Soil quality improvement and fertiliser
BF slag -> Fertiliser
Mill scales -> Fertilizer
Waste heat -> Fertiliser
Waste coolant -> Fertilizer
BF slag -> Soil quality improvement and fertiliser
Exhaust gas -> Fertilizer
BF slag -> Fertilizer
Waste coolant -> Fertiliser
Mill scales -> Soil quality improvement and fertiliser
Mill scales -> Fertiliser
Waste heat -> Soil quality improvement and fertiliser"
ILVA,ND - Construction materials production,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Construction materials production,0,12,1,,"slag -> construction materials
slag -> building materials
ferrous slag -> building materials
copper slag -> building materials
copper slag -> construction materials
steelmaking slag -> civil construction materials
steelmaking slag -> building materials
steelmaking slag -> construction materials
blast furnace slag -> value-added construction materials
blast furnace slag -> building materials
blast furnace slag -> construction materials
ladle slag -> building materials",BF slag -> Raw material for Construction materials production
ILVA,ND - Electricity production - Organic Rankine Cycle,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Process heat,0,2,2,,"nitrogen oxides -> heat
alumina -> heat","Exhaust gas -> Process heat
Refractories -> Process heat"
ILVA,ND - Glass and glass-ceramic production,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Glass and glass-ceramic production,1,3,2,BFS -> Raw material for Glass and glass-ceramic production,"mill scale -> iron-rich glass-ceramics
ferrous slag -> ceramic materials
blast furnace slag -> transparent glass","Mill scales -> Raw material for Glass and glass-ceramic production
BF slag -> Raw material for Glass and glass-ceramic production"
ILVA,ND - Isolated buildings,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Removal or retention of phosphorous from wastewater,1,0,0,BFS -> Removal or retention of phosphorous from wastewater,,
ILVA,ND - Marine embarkments,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Marine embarkments,1,0,0,BFS/BOSF -> Raw material for Marine embarkments,,
ILVA,ND - Production of bricks,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of bricks,1,3,1,BFS -> Raw material for Production of bricks,"steelmaking slag -> bricks
blast furnace slag -> bricks
lithium slag -> bricks",BF slag -> Raw material for Production of bricks
ILVA,ND - Production of concrete,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of concrete,1,9,1,BOFS as aggregate -> Raw material for Production of concrete,"slag -> concrete
slag -> feedstock for cement clinker production
copper slag -> concrete
steelmaking slag -> concrete
steelmaking slag -> concrete aggregate
blast furnace slag -> concrete
EAF slag -> concrete aggregate
EAF slag -> concrete
lithium slag -> concrete",BF slag -> Raw material for Production of concrete
ILVA,ND - Production of refractories,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Production of refractories,1,3,2,BFS -> Raw material for Production of refractories,"slag waste -> refractory materials
ferrotitanium slag -> refractory materials
ferrous slag -> ceramic materials","Waste coolant -> Raw material for Production of refractories
BF slag -> Raw material for Production of refractories"
ILVA,ND - Road construction,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Raw material for Road construction
Raw materials
Road foundations
Paving",3,35,7,"Refractories -> Raw materials
BFS/BOSF -> Road foundations
BOSF -> Paving","off-gases -> byproducts
flue gas -> byproducts
nitrogen oxides -> materials
waste oil -> chemical products
waste oil -> recycled materials
high-calorific waste -> recycled materials
waste -> materials
waste -> chemical products
liquid waste -> materials
liquid waste -> byproducts
fluid waste -> recovered materials
scale -> minerals
slag -> concrete
slag -> minerals
slag -> recycled materials
slag -> construction materials
slag -> building materials
desulfurization slag -> pavement materials
ferrous slag -> building materials
copper slag -> building materials
copper slag -> construction materials
copper slag -> concrete
steelmaking slag -> concrete
steelmaking slag -> recycled road materials
steelmaking slag -> building materials
steelmaking slag -> construction materials
steelmaking slag -> asphalt concrete
blast furnace slag -> concrete
blast furnace slag -> pavement granules
blast furnace slag -> building materials
blast furnace slag -> construction materials
ladle slag -> building materials
EAF slag -> concrete
lithium slag -> concrete
lithium slag -> valuable materials","BF slag -> Raw material for Road construction
Mill scales -> Raw materials
BF slag -> Paving
Waste coolant -> Raw materials
BF slag -> Raw materials
Exhaust gas -> Raw materials
Waste heat -> Raw materials"
ILVA,ND - Rock wool production,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Rock wool production,1,0,0,BFS -> Raw material for Rock wool production,,
ILVA,ND - Steelworks,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate",Raw material for Steelworks,1,0,0,Mill scales -> Raw material for Steelworks,,
ILVA,Taranto,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Heat
Cooling",2,3,5,"Waste heat -> Heat
Waste coolant -> Cooling","nitrogen oxides -> heat
waste -> hot water
alumina -> heat","Refractories -> Heat
Exhaust gas -> Heat
Refractories -> Cooling
Exhaust gas -> Cooling
Waste heat -> Heat"
ND - Construction materials production,CEMENTIR,Construction and demolition waste,"Raw material for Cement production
Process energy",0,30,2,,"dry waste -> thermal energy
hazardous waste -> energy recovery
household waste -> energy recovery
construction and demolition waste -> raw materials
construction and demolition waste -> cement materials
renovation waste -> cement materials
concrete waste -> feedstock for cement clinker production
concrete waste -> energy recovery
waste recycling -> raw materials
non-hazardous waste -> energy recovery
municipal solid waste -> energy recovery
municipal solid waste -> energy resources
municipal solid waste -> raw materials
municipal solid waste -> feedstock for cement clinker production
mixed waste -> energy recovery
industrial waste -> raw materials
industrial waste -> energy resources
industrial waste -> raw building materials
industrial waste -> cement
clay brick waste -> cementitious materials
environmental waste -> energy resources
environmental waste -> raw materials
environmental waste -> usable energy
environmental waste -> energy recovery
incinerated waste -> energy recovery
solid waste -> critical raw materials
solid waste -> cement
solid waste -> thermal energy
construction waste -> cement materials
mining waste -> critical raw materials","Construction and demolition waste -> Raw material for Cement production
Construction and demolition waste -> Process energy"
ND - Construction materials production,ENI refinery,Construction and demolition waste,"Process heat
Process energy
Water",0,42,3,,"dry waste -> thermal energy
dry waste -> heat
mine waste -> drinking water
hazardous waste -> water resources
hazardous waste -> energy recovery
household waste -> energy recovery
household waste -> hydrogen
brown waste -> hydrogen
construction and demolition waste -> effluent
concrete waste -> energy recovery
non-hazardous waste -> energy recovery
municipal solid waste -> hydrogen
municipal solid waste -> energy recovery
municipal solid waste -> water
municipal solid waste -> energy resources
municipal solid waste -> salt
municipal solid waste -> heat
mixed waste -> energy recovery
industrial waste -> energy resources
industrial waste -> water
industrial waste -> heat
industrial waste -> salt
environmental waste -> salt
environmental waste -> water treatment
environmental waste -> water resources
environmental waste -> clean water
environmental waste -> energy resources
environmental waste -> hydrogen
environmental waste -> heat
environmental waste -> usable energy
environmental waste -> energy recovery
environmental waste -> hot water
incinerated waste -> energy recovery
solid waste -> treated water
solid waste -> hydrogen
solid waste -> clean water
solid waste -> heat
solid waste -> effluent
solid waste -> thermal energy
construction waste -> hydrogen
waste -> hot water
non-processed waste -> hydrogen","Construction and demolition waste -> Process energy
Construction and demolition waste -> Water
Construction and demolition waste -> Process heat"
