waste,resource
BF slag,Fertiliser
Mill scales,Fertiliser
Exhaust gas,Fertilizer
Waste coolant,Fertilizer
Waste coolant,Soil quality improvement and fertiliser
BF slag,Soil quality improvement and fertiliser
Waste heat,Soil quality improvement and fertiliser
BF slag,Fertilizer
BF slag,Raw material for Construction materials production
Exhaust gas,Process heat
Refractories,Process heat
BF slag,Raw material for Glass and glass-ceramic production
Mill scales,Raw material for Glass and glass-ceramic production
BF slag,Raw material for Production of bricks
BF slag,Raw material for Production of concrete
Waste coolant,Raw material for Production of refractories
BF slag,Raw material for Production of refractories
Exhaust gas,Raw materials
Waste coolant,Raw materials
BF slag,Raw materials
Waste heat,Raw materials
Mill scales,Raw materials
BF slag,Raw material for Road construction
BF slag,Paving
Exhaust gas,Cooling
Refractories,Cooling
Exhaust gas,Heat
Refractories,Heat
Construction and demolition waste,Process energy
Construction and demolition waste,Raw material for Cement production
Construction and demolition waste,Water
Construction and demolition waste,Process heat
Construction and demolition waste,Process energy
Construction and demolition waste,Process energy
Construction and demolition waste,Process heat
Construction and demolition waste,Process energy
Construction and demolition waste,Water
Construction and demolition waste,Fuel
Construction and demolition waste,Process energy
Construction and demolition waste,Process heat
Construction and demolition waste,Fertiliser
Construction and demolition waste,Soil quality improvement and fertiliser
Construction and demolition waste,Fertilizer
Construction and demolition waste,Raw material for Construction materials production
Construction and demolition waste,Raw material for Distilleries
Construction and demolition waste,Process heat
Construction and demolition waste,Raw material for Glass and glass-ceramic production
Construction and demolition waste,Raw material for Production of bricks
Construction and demolition waste,Raw material for Production of concrete
Construction and demolition waste,Raw material for Production of refractories
Construction and demolition waste,Road foundations
Construction and demolition waste,Raw materials
Construction and demolition waste,Paving
Construction and demolition waste,Raw material for Rock wool production
Construction and demolition waste,Raw material for Steelworks
Construction and demolition waste,Cooling
Construction and demolition waste,Heat
Electricity,Water
Electricity,Fuel
Electricity,Water
Electricity,Fertilizer
Electricity,Fertiliser
Electricity,Raw material for Distilleries
Electricity,Raw materials
Oil mill waste water,Water
Oil mill waste water,Process heat
Oil mill waste water,Process heat
Oil mill waste water,Fuel
Oil mill waste water,Water
Oil mill waste water,Process heat
Oil mill waste water,Fertiliser
Oil mill waste water,Soil quality improvement and fertiliser
Oil mill waste water,Raw material for Distilleries
Oil mill waste water,Process heat
Oil mill waste water,Raw material for Production of bricks
Oil mill waste water,Raw materials
Oil mill waste water,Heat
Oil mill waste water,Cooling
Fly ash,Raw material for Cement production
Fly ash,Water
Fly ash,Process heat
Fly ash,Process heat
Fly ash,Water
Fly ash,Fuel
Fly ash,Process heat
Fly ash,Fertiliser
Fly ash,Fertilizer
Fly ash,Raw material for Construction materials production
Fly ash,Raw material for Distilleries
Fly ash,Process heat
Fly ash,Removal or retention of phosphorous from wastewater
Fly ash,Raw material for Production of concrete
Fly ash,Raw material for Production of refractories
Fly ash,Road foundations
Fly ash,Raw materials
Fly ash,Paving
Fly ash,Cooling
Fly ash,Heat
Marc and dregs,Fuel
Marc and dregs,Soil quality improvement and fertiliser
Marc and dregs,Fertilizer
